Bus_Num,Name,LF_Area_Num,LZ_Num,Type,Type_Original,Final_V_pu,Final_A_deg,Final_V_pu_Original,Final_A_deg_Original,Load_MW,Load_MVAR,Gen_MW,Gen_MVAR,Base_KV,Desired_V_pu,Max_MVAR_V,Min_MVAR_V,MVAR_V_Limit,G_pu,B_pu,Remote_Con_Bus_Num,V_Measured,P_Measured,Q_Measured,ErrorVariance_V,ErrorVariance_P,ErrorVariance_Q
1,Bus 1     HV,1,1,3,3,1.06,0,1.06,0,0,0,232.4,-16.9,0,1.06,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
2,Bus 2     HV,1,1,2,2,1.045,-4.98,1.045,-4.98,21.7,12.7,40,42.4,0,1.045,50,-40,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
3,Bus 3     HV,1,1,2,2,1.01,-12.72,1.01,-12.72,94.2,19,0,23.4,0,1.01,40,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
4,Bus 4     HV,1,1,0,0,1.019,-10.33,1.019,-10.33,47.8,-3.9,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
5,Bus 5     HV,1,1,0,0,1.02,-8.78,1.02,-8.78,7.6,1.6,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
6,Bus 6     LV,1,1,2,2,1.07,-14.22,1.07,-14.22,11.2,7.5,0,12.2,0,1.07,24,-6,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
7,Bus 7     ZV,1,1,0,0,1.062,-13.37,1.062,-13.37,0,0,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
8,Bus 8     TV,1,1,2,2,1.09,-13.36,1.09,-13.36,0,0,0,17.4,0,1.09,24,-6,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
9,Bus 9     LV,1,1,0,0,1.056,-14.94,1.056,-14.94,29.5,16.6,0,0,0,0,0,0,-9999,0,0.19,0,-9999,-9999,-9999,-9999,-9999,-9999
10,Bus 10    LV,1,1,0,0,1.051,-15.1,1.051,-15.1,9,5.8,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
11,Bus 11    LV,1,1,0,0,1.057,-14.79,1.057,-14.79,3.5,1.8,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
12,Bus 12    LV,1,1,0,0,1.055,-15.07,1.055,-15.07,6.1,1.6,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
13,Bus 13    LV,1,1,0,0,1.05,-15.16,1.05,-15.16,13.5,5.8,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
14,Bus 14    LV,1,1,0,0,1.036,-16.04,1.036,-16.04,14.9,5,0,0,0,0,0,0,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999
