ID,Val,NROW,NCOL,NIR,NIC
1,28.33259102935962,1,1,2,4
2,-8.479150954461572,1,2,3,5
3,-19.853440074898046,1,3,464,8
4,-8.527717509248232,2,1,5,7
5,22.746103992248862,2,2,6,40
6,-14.218386483000634,2,12,466,10
7,-20.040586336843482,3,1,8,691
8,33.898604949917356,3,3,9,14
9,-8.391009538377864,3,5,10,12
10,-5.467009074696012,3,12,467,25
11,132.5372478954106,4,4,12,15
12,-119.29001290367155,4,5,13,16
13,-13.247234991739035,4,11,469,19
14,-8.668072141171582,5,3,15,41
15,-119.69947220873149,5,4,16,35
16,198.05710212686253,5,5,17,20
17,-17.682840012087002,5,6,18,21
18,-38.52212700885684,5,8,19,27
19,-13.484590756015573,5,11,471,37
20,-17.31542312466983,6,5,21,26
21,62.292606965959344,6,6,22,23
22,-44.97718384128951,6,7,474,24
23,-44.82340548583977,7,6,24,701
24,71.93292396920192,7,7,25,42
25,-27.109518483362155,7,12,476,38
26,-38.52212700885684,8,5,27,36
27,92.13722272063228,8,8,28,30
28,-33.8663048806992,8,9,29,31
29,-19.748790831076246,8,30,477,67
30,-34.563488313773846,9,8,31,114
31,67.70655035207973,9,9,32,33
32,-33.14306203830591,9,10,480,34
33,-33.8579028251019,10,9,34,708
34,33.857902825101895,10,10,481,709
35,-12.89103119922391,11,4,36,699
36,-13.068487938507339,11,5,37,696
37,83.66734402388819,11,11,38,43
38,-45.68153603474332,11,12,39,44
39,-12.026288851413605,11,13,482,49
40,-14.366236043213629,12,2,41,692
41,-5.503628814260937,12,3,42,695
42,-27.0236311544639,12,7,43,705
43,-45.43198453692561,12,11,44,48
44,122.52978634583715,12,12,45,51
45,-12.65425990289321,12,14,46,52
46,-10.985220905925043,12,16,47,61
47,-6.56482498815483,12,116,485,460
48,-11.851632242064618,13,11,49,703
49,15.371743519216912,13,13,50,54
50,-3.5201112771522958,13,15,492,53
51,-12.558148840860623,14,12,52,60
52,17.04123708972789,14,14,53,55
53,-4.4830882488672685,14,15,494,56
54,-3.5142101753940604,15,13,55,714
55,-4.468814769938339,15,14,56,719
56,56.57538159192456,15,15,57,63
57,-19.953209802477833,15,17,58,62
58,-21.691644195712662,15,19,59,72
59,-6.947502648401661,15,33,495,130
60,-10.95579086324386,16,12,61,459
61,16.024336350909238,16,16,62,64
62,-5.068545487665378,16,17,499,65
63,-20.491003094031967,17,15,64,73
64,-5.149736366803497,17,16,65,722
