1,2,3,4,5,6,7,8,9,10,11,12,13,14
6.025029055768224 - 19.44707020551438im,-4.999131600798035 + 15.26308652317955im,0.0 + 0.0im,0.0 + 0.0im,-1.025897454970189 + 4.234983682334831im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-4.999131600798035 + 15.26308652317955im,9.521323610814777 - 30.27211539877906im,-1.1350191923073958 + 4.781863151757718im,-1.6860331506149429 + 5.115838325872082im,-1.7011396670944048 + 5.193927397969713im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,-1.1350191923073958 + 4.781863151757718im,3.1209949022329564 - 9.82238012935164im,-1.9859757099255606 + 5.0688169775939205im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,-1.6860331506149429 + 5.115838325872082im,-1.9859757099255606 + 5.0688169775939205im,10.512989522036175 - 38.654171207607796im,-6.840980661495671 + 21.578553981691588im,0.0 + 0.0im,0.0 + 4.889512660317341im,0.0 + 0.0im,0.0 + 1.8554995578159004im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-1.025897454970189 + 4.234983682334831im,-1.7011396670944048 + 5.193927397969713im,0.0 + 0.0im,-6.840980661495671 + 21.578553981691588im,9.568017783560265 - 35.533639456044824im,0.0 + 4.257445335253385im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 4.257445335253385im,6.579923407466222 - 17.34073280991911im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.9550285631772606 + 4.0940743442404415im,-1.5259674404509738 + 3.1759639650294im,-3.0989274038379873 + 6.102755448193115im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 4.889512660317341im,0.0 + 0.0im,0.0 + 0.0im,0.0 - 19.54900594826465im,0.0 + 5.676979846721544im,0.0 + 9.090082719752749im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 5.676979846721544im,0.0 - 5.676979846721544im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 1.8554995578159004im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 9.090082719752749im,0.0 + 0.0im,5.326055039467359 - 24.092506375267877im,-3.902049552447428 + 10.365394127060915im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.4240054870199312 + 3.0290504569306034im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-3.902049552447428 + 10.365394127060915im,5.782934306147828 - 14.768337876521436im,-1.8808847537003996 + 4.402943749460521im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.9550285631772606 + 4.0940743442404415im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.8808847537003996 + 4.402943749460521im,3.8359133168776602 - 8.497018093700962im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.5259674404509738 + 3.1759639650294im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,4.014992027272893 - 5.427938591201611im,-2.4890245868219187 + 2.251974626172212im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-3.0989274038379873 + 6.102755448193115im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-2.4890245868219187 + 2.251974626172212im,6.724946148466233 - 10.66969354947068im,-1.1369941578063267 + 2.314963475105352im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.4240054870199312 + 3.0290504569306034im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.1369941578063267 + 2.314963475105352im,2.560999644826258 - 5.344013932035955im
