Bus_Num,Name,LF_Area_Num,LZ_Num,Type,Type_Original,Final_V_pu,Final_A_deg,Final_V_pu_Original,Final_A_deg_Original,Load_MW,Load_MVAR,Gen_MW,Gen_MVAR,Base_KV,Desired_V_pu,Max_MVAR_V,Min_MVAR_V,MVAR_V_Limit,G_pu,B_pu,Remote_Con_Bus_Num,V_Measured,P_Measured,Q_Measured,ErrorVariance_V,ErrorVariance_P,ErrorVariance_Q
3,Kumis    132,1,1,0,0,1.021,-7.96,1.021,-7.96,0.024,0.012,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
4,Hancock  132,1,1,0,0,1.012,-9.62,1.012,-9.62,0.076,0.016,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
6,Roanoke  132,1,1,0,0,1.01,-11.34,1.01,-11.34,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
7,Blaine   132,1,1,0,0,1.002,-13.12,1.002,-13.12,0.228,0.109,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
9,Roanoke  1.0,1,1,0,0,1.051,-14.38,1.051,-14.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
10,Roanoke   33,1,1,0,0,1.045,-15.97,1.045,-15.97,0.057999999999999996,0.02,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.19,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
12,Hancock   33,1,1,0,0,1.057,-15.24,1.057,-15.24,0.11199999999999999,0.075,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
14,Bus 14    33,1,1,0,0,1.042,-16.13,1.042,-16.13,0.062,0.016,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
15,Bus 15    33,1,1,0,0,1.038,-16.22,1.038,-16.22,0.08199999999999999,0.025,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
16,Bus 16    33,1,1,0,0,1.045,-15.83,1.045,-15.83,0.035,0.018000000000000002,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
17,Bus 17    33,1,1,0,0,1.04,-16.14,1.04,-16.14,0.09,0.057999999999999996,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
18,Bus 18    33,1,1,0,0,1.028,-16.82,1.028,-16.82,0.032,0.009000000000000001,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
19,Bus 19    33,1,1,0,0,1.026,-17.0,1.026,-17.0,0.095,0.034,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
