ID,Val,NROW,NCOL,NIR,NIC
1,6.765516048652632 - 21.23160167089863im,1,1,3,4
2,9.75228216552403 - 30.648662892676068im,2,2,9,10
3,-5.224646179885656 + 15.646726840803398im,1,2,6,2
4,-5.224646179885656 + 15.646726840803398im,2,1,2,7
5,9.736318911079085 - 29.137947459158035im,3,3,11,12
6,-1.5408698687669764 + 5.631674830095234im,1,3,-1,5
7,-1.5408698687669764 + 5.631674830095234im,3,1,5,-1
8,16.314103089185693 - 55.50941053525426im,4,4,19,20
9,-1.7055303166990272 + 5.1973792282565086im,2,4,14,11
10,-1.7055303166990272 + 5.1973792282565086im,4,2,12,15
11,-8.19544904231211 + 23.530872629062802im,3,4,-1,8
12,-8.19544904231211 + 23.530872629062802im,4,3,8,-1
13,4.089980824135861 - 12.190647245055054im,5,5,22,23
14,-1.135960788173878 + 4.7724793282813565im,2,5,17,13
15,-1.135960788173878 + 4.7724793282813565im,5,2,13,18
16,22.34163126903456 - 82.82914786577889im,6,6,24,25
17,-1.6861448807654689 + 5.116477495334806im,2,6,-1,19
18,-1.6861448807654689 + 5.116477495334806im,6,2,20,-1
19,-6.413123730174556 + 22.311203565481225im,4,6,41,16
20,-6.413123730174556 + 22.311203565481225im,6,4,16,42
21,6.544230459942975 - 18.456682327501838im,7,7,-1,-1
22,-2.954020035961983 + 7.449267916773697im,5,7,-1,24
23,-2.954020035961983 + 7.449267916773697im,7,5,25,-1
24,-3.590210423980992 + 11.02611441072814im,6,7,27,21
25,-3.590210423980992 + 11.02611441072814im,7,6,21,28
26,7.733287237496075 - 26.527493274828448im,8,8,109,110
27,-6.289308176100628 + 22.0125786163522im,6,8,30,26
28,-6.289308176100628 + 22.0125786163522im,8,6,26,31
29,0.0 - 18.706293706293707im,9,9,38,39
30,-0.0 + 4.915840805411357im,6,9,33,29
31,-0.0 + 4.915840805411357im,9,6,29,34
32,13.462042814524233 - 41.383760667522395im,10,10,71,72
33,-0.0 + 1.8561002591115958im,6,10,111,38
34,-0.0 + 1.8561002591115958im,10,6,39,112
35,0.0 - 4.8076923076923075im,11,11,-1,-1
36,-0.0 + 4.8076923076923075im,9,11,-1,35
